Episode 0: 3.31092s
Episode 1: 11.1919s
Episode 2: 19.8075s
Episode 3: 27.6878s
Episode 4: 35.88s
         4956584 function calls (4830750 primitive calls) in 37.703 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   121298    0.137    0.000    0.195    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:215(__init__)
   158260    0.130    0.000    0.168    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/utils.py:75(assure_tensor)
    28064    0.160    0.000    0.160    0.000 {method 'max' of 'torch._C._TensorBase' objects}
    60649    0.069    0.000    0.154    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:126(__enter__)
    60649    0.146    0.000    0.154    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/autograd/grad_mode.py:121(__init__)
   345684    0.148    0.000    0.148    0.000 {method 'size' of 'torch._C._TensorBase' objects}
   115080    0.050    0.000    0.097    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:223(check_hidden_size)
      220    0.001    0.000    0.084    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1440(load_state_dict)
  880/220    0.002    0.000    0.083    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1475(load)
    57540    0.049    0.000    0.081    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:198(check_input)
   350488    0.078    0.000    0.081    0.000 {built-in method builtins.isinstance}
      880    0.027    0.000    0.080    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1346(_load_from_state_dict)
      440    0.003    0.000    0.078    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:526(__next__)
    56320    0.076    0.000    0.076    0.000 {built-in method from_numpy}
     1000    0.002    0.000    0.073    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/wrappers/time_limit.py:16(step)
     1000    0.001    0.000    0.071    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/wrappers/order_enforcing.py:11(step)
     1000    0.014    0.000    0.069    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/mountain_car.py:117(step)
9315/3662    0.008    0.000    0.067    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    57540    0.055    0.000    0.067    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:209(get_expected_hidden_size)
     1000    0.002    0.000    0.065    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:9(action_from_policy)
      440    0.003    0.000    0.063    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:568(_next_data)
     1000    0.054    0.000    0.063    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     6160    0.058    0.000    0.058    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
     1000    0.002    0.000    0.052    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:63(epsilon_greedy_policy)
