Episode 0: 2.34267s
Episode 1: 7.95833s
Episode 2: 14.4301s
Episode 3: 20.4294s
Episode 4: 26.5074s
         4797143 function calls (4671382 primitive calls) in 26.557 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16340    0.097    0.000    0.097    0.000 {built-in method zeros}
      440    0.004    0.000    0.097    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:526(__next__)
      220    0.008    0.000    0.091    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/optim/optimizer.py:189(zero_grad)
     3080    0.088    0.000    0.088    0.000 {method 'addcdiv_' of 'torch._C._TensorBase' objects}
   115080    0.045    0.000    0.086    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:223(check_hidden_size)
     1000    0.002    0.000    0.080    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/wrappers/time_limit.py:16(step)
     1000    0.002    0.000    0.077    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/wrappers/order_enforcing.py:11(step)
      440    0.003    0.000    0.076    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:568(_next_data)
    56320    0.076    0.000    0.076    0.000 {built-in method from_numpy}
     1000    0.016    0.000    0.076    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/classic_control/mountain_car.py:117(step)
    57540    0.044    0.000    0.074    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:198(check_input)
9195/3602    0.008    0.000    0.073    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     3080    0.073    0.000    0.073    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
     1000    0.003    0.000    0.070    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:9(action_from_policy)
     3066    0.070    0.000    0.070    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
   350426    0.064    0.000    0.067    0.000 {built-in method builtins.isinstance}
     1000    0.058    0.000    0.067    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
    57540    0.052    0.000    0.064    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:209(get_expected_hidden_size)
     1000    0.002    0.000    0.056    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:63(epsilon_greedy_policy)
     2000    0.002    0.000    0.051    0.000 <__array_function__ internals>:177(clip)
     3060    0.003    0.000    0.049    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
    57760    0.030    0.000    0.048    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/_VF.py:25(__getattr__)
   215361    0.033    0.000    0.045    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/models/TorchModel.py:149(_check_device)
     2000    0.002    0.000    0.045    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2083(clip)
   181902    0.045    0.000    0.045    0.000 {built-in method torch._C.is_grad_enabled}
   216244    0.042    0.000    0.042    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
    57540    0.030    0.000    0.042    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:667(get_expected_cell_size)
      220    0.001    0.000    0.041    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/fetch.py:47(fetch)
     2000    0.004    0.000    0.041    0.000 {method 'clip' of 'numpy.generic' objects}
     3080    0.040    0.000    0.040    0.000 {method 'addcmul_' of 'torch._C._TensorBase' objects}
     2000    0.005    0.000    0.036    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:125(_clip)
      530    0.007    0.000    0.036    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/policies/__init__.py:48(greedy_policy)
      440    0.001    0.000    0.031    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/dataloader.py:520(_next_index)
      668    0.001    0.000    0.030    0.000 {built-in method builtins.next}
      440    0.004    0.000    0.030    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:224(__iter__)
     2000    0.006    0.000    0.028    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/yaaf/agents/dqn/DQNAgent.py:98(exploration_rate)
        1    0.000    0.000    0.028    0.028 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:103(__init__)
   107570    0.026    0.000    0.026    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/rnn.py:691(permute_hidden)
   121268    0.026    0.000    0.026    0.000 {built-in method torch._C._set_grad_enabled}
     1220    0.026    0.000    0.026    0.000 {built-in method tensor}
     7260    0.006    0.000    0.024    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/sampler.py:107(__iter__)
     4000    0.013    0.000    0.024    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/numpy/core/_methods.py:91(_clip_dep_is_scalar_nan)
     54/3    0.000    0.000    0.023    0.008 <frozen importlib._bootstrap>:1002(_find_and_load)
     54/3    0.000    0.000    0.023    0.008 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
        1    0.000    0.000    0.023    0.023 /home/filipesousa/Documents/GitHub/ad-hoc-deep-learning/src/lib/ATPO_policy.py:15(__init__)
     52/3    0.000    0.000    0.023    0.008 <frozen importlib._bootstrap>:659(_load_unlocked)
     24/3    0.000    0.000    0.023    0.008 <frozen importlib._bootstrap_external>:844(exec_module)
     82/3    0.000    0.000    0.022    0.007 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
 1768/442    0.005    0.000    0.021    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/nn/modules/module.py:1713(train)
  660/220    0.007    0.000    0.021    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/collate.py:84(default_collate)
    63833    0.020    0.000    0.020    0.000 {built-in method builtins.getattr}
      220    0.002    0.000    0.020    0.000 /home/filipesousa/.local/lib/python3.9/site-packages/torch/utils/data/_utils/fetch.py:49(<listcomp>)
        1    0.000    0.000    0.019    0.019 /home/filipesousa/.local/lib/python3.9/site-packages/gym/envs/registration.py:675(make)
