NUM_TRAIN_EPISODES = 100

Episode		Average loss

0		0.0
1		0.982078048418153
2		7.169470273389739
3		5.965698985502315
4		6.69339712084301
5		5.1911524414810035
6		6.405013841218674
7		3.8296738081652184
8		5.644235288631171
9		4.358953847971402
10		6.17240367791731
11		4.302497168100978
12		4.594532397959163
13		5.657609348611314
14		4.866997442743023
15		3.845329184729354
16		4.385604694130874
17		4.387862082523636
18		4.186023821884936
19		5.6404242175428765
20		5.37923004167093
21		6.520105314041887
22		6.554719682687368
23		5.382021529132156
24		4.420335636275714
25		6.7506677997849325
26		5.215767467529216
27		4.536532332257527
28		5.208780670440511
29		3.6808108281504155
30		4.2436330587499675
31		4.065741318922776
32		4.43872183808391
33		6.212734041267267
34		4.190614138143178
35		5.419831702455145
36		4.997268515604514
37		4.758707366041516
38		5.1360486145634265
39		4.535736123581281
40		4.9328574474502656
41		5.037581981994488
42		3.460705787409097
43		5.684812320081087
44		5.207568895537406
45		3.7933296389514353
46		5.336945120908
47		1.9064492756974767
48		3.8413043420949426
49		5.017408102629136
50		4.708049388585892
51		2.827217896591942
52		2.9369983031199527
53		4.477630602301292
54		5.1538897166329045
55		2.486548205963651
56		4.285208675730435
57		3.815004395114051
58		3.6958720000754846
59		0.0
60		3.9466802870087765
61		4.435550923410215
62		3.6650284104877047
63		4.0297623354245005
64		3.910794629862434
65		4.887258283793926
66		5.057675115496135
67		4.744194968522174
68		5.262101431025399
69		3.9555035211624356
70		4.531041002791861
71		4.020531725719435
72		4.6218250318098875
73		3.730378831255025
74		4.382861290556011
75		3.9178644862771033
76		4.116589567661285
77		4.00582857592767
78		3.7801421741058028
79		3.6051563517135734
80		5.543747022559371
81		3.2677347890245234
82		4.556363794876605
83		2.7342175485303737
84		3.2543949589875467
85		3.418046645730375
86		3.945953147264304
87		4.155923767745146
88		3.770519830533211
89		3.7373005781463
90		3.985010547081226
91		3.880888071876985
92		4.707168355584145
93		3.5913958542876774
94		3.0179067276643985
95		2.5903754043824896
96		2.547930835959423
97		3.74962034807386
98		3.621910637784227
99		2.214832995402611
100		2.994660916641287
101		5.085033724436888
102		3.639554909187386
103		2.271437181518712
104		3.6101996781364565
105		3.532608139368654
106		2.503425813954452
107		2.4291124076444386
108		2.2825624953616748
109		5.072064997667962
110		3.146423728693099
111		2.820591537303446
112		3.02001120870033
113		3.0117184452357746
114		1.7491794788967008
115		3.5756790414452553
116		3.2208843059458974
117		3.621094590600799
118		2.057480959864388
119		7.430701285600662
120		3.5839909221101927
121		2.856195490690147
122		3.35880257619115
123		3.5357141173134248
124		2.8033425687365447
125		3.8869217955149136
126		2.4004992842674255
127		3.1020880108409457
128		2.339748064627742
129		2.7229175139432664
130		3.975134678955736
131		3.0084077771753073
132		3.1314396841658487
133		2.6389878810668477
134		1.9937369834918242
135		4.730768612623215
136		2.4677878418607575
137		3.461030341381401
138		3.2262284557024636
139		3.5752453889165605
140		2.6809361773635705
141		2.4962345046155594
142		2.977166973687465
143		2.286553852217538
144		2.8775505984701764
145		2.8165583128221465
146		2.545757249991099
147		2.0941702760371967
148		2.962780644496282
149		3.40797192354997
150		3.172817296038071
151		2.6464868753898045
152		2.9618997035695496
153		3.09258347429255
154		3.256831588515316
155		3.139140437631046
156		4.029550993016788
157		2.5769243802054453
158		3.211158524240766
159		1.8478792568911677
160		2.7605859497760203
161		2.2198961189814974
162		3.5121715621250433
163		4.027034202537967
164		3.102387242905369
165		1.8653442529232607
166		2.7181234519719046
167		3.5008820350995786
168		3.1561136456257706
169		2.460202660149252
170		4.793594499132526
171		3.024815999819133
172		2.3477336205542088
173		2.4560337464014688
174		3.440079221358666
175		3.068976695196969
176		2.920681853429966
177		3.155503626070717
178		3.038915520458552
179		2.540130827289361
180		3.2253247782335444
181		2.6868267276070337
182		3.4181163619748123
183		3.771232511579376
184		4.043776385578108
185		4.96155224221476
186		4.933299595969064
187		5.048253137944481
188		3.231107440769163
189		3.766435389796262
190		4.123002907325482
191		4.586800601031329
192		3.4489669129962013
193		4.84653347492218
194		4.656286519239931
195		4.344779456496998
196		4.637441522934857
197		4.452208943248536
198		3.6439357389950886
199		3.746191562305797
