NUM_TRAIN_EPISODES = 100

Episode		Average loss

0		0.000318503445166458
1		1.566067568831624
2		1.9558544979107115
3		3.5078550206822574
4		2.3707510370988656
5		0.7810903537840624
6		2.329177688379028
7		4.673814001562186
8		2.3388412652780586
9		2.3327581512615385
10		2.3302071444905508
11		1.1513585111471238
12		4.1354633981982865
13		3.9008836318322238
14		5.862612198948346
15		4.235967604138635
16		3.513649449966127
17		3.8868655023731327
18		3.119074940896738
19		3.840261557185259
20		4.264659787167856
21		2.3384112432439945
22		3.073235755123198
23		2.3368545959764466
24		1.1131035952473716
25		2.7096822497589352
26		1.8062523120451113
27		2.289161526911551
28		2.249694533829652
29		2.3794911188493275
30		3.101710675396587
31		3.7291470847160713
32		2.9714558675538663
33		2.2743890556123327
34		5.356197021195087
35		8.442447569869135
36		5.41525387406424
37		3.1210545126779294
38		3.532615170919929
39		1.971480294706384
40		2.308634385494656
41		2.8881040618271756
42		4.308876921031102
43		1.761845190525055
44		4.275039163759756
45		4.2674139272328
46		1.5734763845015112
47		1.4806151600068163
48		5.2228700411506
49		2.7640310573125526
50		3.585557634920575
51		2.3450194040884327
52		2.8373057085234636
53		4.245629507917256
54		4.630539108301751
55		2.9756631902777233
56		3.847652287564086
57		7.590500312880045
58		3.168265906730171
59		4.27535130089177
60		4.598704194098613
61		3.4644186228195477
62		5.774473060062857
63		2.301226280629635
64		2.3281167581134556
65		3.0708394079146224
66		2.816245425286654
67		4.236385768485354
68		1.937526078445453
69		0.8019285802097627
70		4.555419853513143
71		2.4667635543552775
72		2.6919288250744042
73		5.395901856981405
74		5.125512854550696
75		4.947776043422557
76		3.5299785453393016
77		3.8820892243304446
78		5.615470312936001
79		2.591784872052913
80		3.0645174268052804
81		3.049610438171643
82		3.493687924212561
83		2.8554204346171472
84		5.960384911910764
85		6.034110364896295
86		3.9062014974268346
87		3.0598064784578343
88		3.5378264035379527
89		3.5109240891477422
90		1.9236657705775757
91		2.479588850259781
92		3.022353261662413
93		3.494275070988952
94		3.489954101305511
95		1.003524950019231
96		6.308033777808305
97		3.6306606192886828
98		1.615377924034512
99		5.720681894154466
100		1.8773409523713736
101		6.694131731186752
102		7.849303984584717
103		4.8555172118701435
104		3.7611522618119593
105		3.8119575537591426
106		5.7915794747796925
107		3.519161759973995
108		1.1288427978885085
109		4.179598936502209
110		7.110503393890602
111		0.016001491579322184
112		3.3885160906418186
113		4.951220461229483
114		4.237651577887285
115		5.580712969297249
116		4.253783708386537
117		3.792156308472868
118		5.042641564804528
119		4.636217166077007
120		4.68649693468574
121		2.86005864870102
122		3.1092108729571555
123		1.0358187299118273
124		4.288656715303659
125		2.3468411806877234
126		4.924339536792743
127		4.499954471082873
128		2.694578173621815
129		4.9693622349715625
130		2.041339376210285
131		3.200535134285988
132		3.2201474414565987
133		3.0757958499490092
134		3.0330267571192233
135		4.227336782185201
136		3.455950257859787
137		4.225584667238096
138		2.6835902066779647
139		7.138013998490004
140		1.7764841696424853
141		2.3360092675491195
142		5.049486791686946
143		2.9828282540592435
144		7.024434112078127
145		3.605080774150441
146		3.7947320219447565
147		4.127396963336455
148		4.972900346932399
149		3.884541266789688
150		3.7284088605263617
151		4.980648532360044
152		3.9029673457651133
153		3.7581662716374042
154		4.551608882493447
155		3.0532565742880853
156		4.188042256382093
157		3.0710171638197035
158		3.7824521855118887
159		2.3128431353895884
160		5.310404696927673
161		5.353484307851025
162		5.879623133230668
163		3.205934782799931
164		4.87852160270526
165		4.044022140149251
166		4.923841428573257
167		1.9097884414440467
168		3.048550355603834
169		2.9858127417716775
170		2.276902523687362
171		4.977703751205946
172		4.106468538566488
173		3.549708083331112
174		4.762880158571011
175		3.4840679136783486
176		0.8981156317380871
177		4.10925176146267
178		4.529404345519689
179		5.541580048886905
180		4.113705962989948
181		2.6671829314799465
182		4.523192015762006
183		5.901162728308195
184		4.705455252734412
185		1.4900482337098175
186		2.321300468945773
187		5.156745856151331
188		2.987932147617316
189		4.919458593377591
190		2.2259841084704926
191		2.975237156609806
192		3.0797557251966174
193		0.531818157993257
194		3.8400057058350825
195		2.033935760205676
196		3.0033321405325704
197		4.380415990817602
198		3.4606003831875953
199		4.898488524287939
