NUM_TRAIN_EPISODES = 100

Episode		Average loss

0		2604.593994140625
1		1629.0904279385475
2		1296.6695059984922
3		2915.3756316304207
4		2270.2931291485825
5		2357.6781551052222
6		1464.6296314150095
7		3024.9677760799727
8		2707.277767498385
9		2580.33034154085
10		2838.7905100981393
11		2208.91538880511
12		1585.564460018934
13		2424.967708349228
14		3342.032867717743
15		2764.2715938250226
16		2083.863508796692
17		2805.716748992602
18		2537.816323568236
19		2513.615676413191
20		3069.288406557507
21		2358.046928604444
22		2659.4690755208335
23		1687.2562905152638
24		2229.3351171414056
25		2774.666874408722
26		1785.016269297213
27		2979.3848011799346
28		2286.6255008876324
29		2042.2828498482704
30		2985.4241148630776
31		2211.3734455692525
32		2501.20972708861
33		2518.5088184674582
34		3204.728663648878
35		2316.287128631885
36		2721.5129212061565
37		2821.840896129608
38		3021.9578783512115
39		2211.768219287579
40		2772.3904026433042
41		2578.72447553277
42		2397.3145759105682
43		1990.6039996623992
44		2542.1661849888887
45		2263.4229715954175
46		2057.380681003843
47		3934.0642790794373
48		2968.5607027212777
49		2756.5794636102823
50		2567.298886259397
51		2182.833144505819
52		2465.204485019048
53		1876.4038479804992
54		2340.000605858952
55		2838.243628425598
56		2277.2493742162533
57		2871.6635313563875
58		1714.2164114316304
59		2537.196989471262
60		1786.0152035843241
61		2992.563427090645
62		2360.7064156654556
63		1918.8460041371789
64		1784.7914772629738
65		2420.0627279281616
66		3458.6503920555115
67		2034.1381036166488
68		1928.7494787702374
69		2434.204736019003
70		2177.4371716915034
71		1993.8999218940735
72		2771.8885483443737
73		2152.8925889879465
74		2636.4465968608856
75		2453.0547263933263
76		1821.5180867740087
77		2446.131064593792
78		2758.638760123934
79		1582.8690250515938
80		2751.466068094427
81		2116.924556330631
82		1866.3949509878007
83		1957.9045694442023
84		1513.8990394047328
85		1777.9693529435567
86		1471.0159896902137
87		2395.9180479271467
88		2030.990847878986
89		1941.7637984311139
90		2184.533830680847
91		2505.742566163199
92		2178.5409886932375
93		2459.560178130865
94		2587.0091589689255
95		1940.9018387264675
96		2296.5861655341255
97		1577.4907112705464
98		2122.2802818616233
99		1958.659822368622
100		1486.3229079980117
101		2540.283188343048
102		1658.3962689477044
103		2210.3004027472603
104		2310.8624180088873
105		2816.715967859541
106		2317.302281230688
107		1633.6734048525493
108		2387.948801641111
109		2183.213883746754
110		2441.298956085654
111		2589.37588057518
112		1927.3715028365452
113		2224.3816414560592
114		2260.3589856624603
115		2144.313337469101
116		2342.177702188492
117		2511.167285402616
118		1492.2428409186277
119		2312.1458349671475
120		2422.5079184486754
121		2515.344397723675
122		1298.102462359837
123		1990.3525941371918
124		2609.5009177752904
125		1861.6826825368971
126		2595.0870046182113
127		2332.8902824291818
128		2050.2834475835166
129		2044.3221251010896
130		1953.7806223801203
131		2554.6961216926575
132		1428.994554400444
133		2233.0320296386876
134		1847.7943718910217
135		2237.222903863589
136		2199.8202201604845
137		1874.0557039578755
138		2274.6551292737327
139		2138.4477838198345
140		2727.475719332695
141		2218.000984617642
142		1833.846166729927
143		2029.94752158059
144		1835.3299988817287
145		1654.8630291223526
146		1440.606569671631
147		2295.9223732948303
148		1990.1761673177991
149		1551.6749344739046
150		2274.0858116149902
151		2168.105212688446
152		1821.9796788509075
153		2767.890768792894
154		1411.1639249863163
155		1779.6023894945781
156		2903.3004364013673
157		2772.134259753757
158		2340.9098353862764
159		2422.8910373051963
160		2212.3789995670318
161		3618.2210191090903
162		2260.9681289196014
163		2296.6167038749245
164		2319.9068094779705
165		2062.1857914491134
166		2357.347297148271
167		1538.2975531816483
168		1963.8062571012056
169		2288.936761434688
170		1833.578732585907
171		2195.515618730764
172		2257.9481509771103
173		2307.72178932031
174		1783.7800267537434
175		2650.81092275892
176		1843.2640216784043
177		2283.0559507608414
178		1683.3628593087196
179		1670.7761811126363
180		1944.2145269220525
181		2267.682594671482
182		2062.6809526284537
183		2170.375928302606
184		2670.5099681218467
185		2031.1486751834552
186		1873.9441907150406
187		2748.7977352142334
188		2507.569099521637
